Date,MSFT,F,CRAY,GOOG,HPQ,YHOO,HOG,VZ,AAPL,IBM,T,CSCO,BAC,INTC,AMD,SNE,NVDA,AMZN,MS,BK
11/3/2014,47.439999,13.99,34.119999,553.699829,16.285194,46.34,65.279999,50.389999,109.400002,164.360001,34.84,24.58,17.27,34.310001,2.87,20.16,19.870001,305.720001,34.709999,38.470001
11/4/2014,47.57,13.95,34.27,552.592834,16.30336,47.080002,64.110001,50.330002,108.599998,162.649994,34.790001,24.879999,17.209999,34.540001,2.83,20.01,20.129999,302.809998,34.66,38.700001
11/5/2014,47.860001,13.94,33.889999,544.425293,16.430517,47.459999,64.360001,50.34,108.860001,161.820007,34.919998,25.15,17.34,33.759998,2.8,20.18,20.129999,296.519989,34.900002,38.669998
11/6/2014,48.700001,14.19,34.150002,540.555908,16.416893,47.93,65.709999,50.279999,108.699997,161.460007,34.720001,25.26,17.360001,33.82,2.76,19.700001,20.219999,296.640015,35.310001,38.77
11/7/2014,48.68,14.17,33.919998,539.528748,16.521345,48.549999,66.040001,50.860001,109.010002,162.070007,34.91,25.33,17.360001,33.580002,2.78,19.620001,19.790001,299.859985,35.66,38.91
11/10/2014,48.889999,14,34.599998,545.990967,16.757494,49.41,66.480003,50.720001,108.830002,163.490005,35.119999,25.15,17.370001,33.259998,2.76,20.5,20.02,305.109985,35.880001,39.5
11/11/2014,48.869999,14.37,34.470001,548.783325,16.693914,49.049999,66.730003,50.610001,109.699997,163.300003,35.099998,25.15,17.32,33.310001,2.73,20.709999,19.780001,312.01001,35.790001,39.450001
11/12/2014,48.779999,14.58,34.450001,545.811462,16.580381,50.599998,67.110001,50.82,111.25,161.919998,35.400002,25.110001,17.290001,33.380001,2.71,20.629999,19.65,311.51001,35.970001,39.740002
11/13/2014,49.610001,14.93,34.060001,543.88678,16.512262,50.5,67.650002,51.200001,112.82,162.789993,35.610001,25.68,17.219999,33.68,2.66,20.41,19.549999,316.480011,35.84,39.59
11/14/2014,49.580002,15.14,34.41,542.909424,16.766577,51.75,68.400002,51.5,114.18,164.160004,35.900002,26.32,17.139999,33.950001,2.61,20.639999,19.790001,327.820007,35.689999,39.669998
11/17/2014,49.459999,15.54,34.009998,535.041016,16.989101,52.369999,68.639999,51.400002,113.989998,164.160004,35.849998,26.469999,17.09,34.240002,2.67,20.26,19.700001,323.049988,35.599998,39.73
11/18/2014,48.740002,15.5,33.799999,533.565125,17.029972,51.75,68.809998,51.220001,115.470001,161.889999,35.720001,26.6,17.139999,34.709999,2.65,21.26,20.17,324.929993,35.470001,39.689999
11/19/2014,48.220001,15.44,32.459999,535.519714,16.884651,50.580002,69.199997,50.490002,114.669998,161.429993,35.369999,26.59,17.059999,34.349998,2.63,20.809999,20.01,326.540009,35.48,39.790001
