Date,MSFT,F,CRAY,GOOG,HPQ,YHOO,HOG,VZ,AAPL,IBM,T,CSCO,BAC,INTC,AMD,SNE,NVDA,AMZN,MS,BK
11/1/2007,37.060001,8.5,5.77,350.292023,23.387829,30.219999,49.450001,41.766872,26.777143,113.650002,40.459999,32.18,45.709999,26.5,12.8,49.099998,35.380001,87.650002,62.419998,46.990002
11/2/2007,37.060001,8.95,6.46,354.296997,23.796549,31.110001,49.459999,41.430798,26.838572,114.589996,40.419998,32.509998,45.110001,26.799999,13.17,49.540001,36.740002,85.980003,58.900002,47.200001
11/5/2007,36.73,8.67,6.13,361.470123,23.860126,31.360001,48.459999,40.908012,26.597143,113.400002,40.040001,33.080002,44.450001,26.84,13.42,48.639999,36.740002,84.370003,55.59,47.419998
11/6/2007,36.41,8.63,6.02,369.509979,24.255222,29.93,48.700001,40.833328,27.398571,113.169998,40.040001,34.080002,45.560001,27.49,13.43,48.849998,37.900002,87.269997,54.509998,48.279999
11/7/2007,35.52,8.24,6.05,365.101501,23.542234,27.629999,48.119999,40.235859,26.614286,111.080002,38.66,32.75,43.310001,26.9,13.01,47.93,36.099998,87.040001,51.189999,45.77
11/8/2007,34.740002,8.48,6.19,345.624512,22.679382,26.700001,49.200001,39.890446,25.067142,106.110001,39.34,29.629999,43.5,25.93,12.51,47.27,33.84,83.580002,53.68,46
11/9/2007,33.73,8.2,6.08,330.7453,21.975477,25.790001,48.16,39.927788,23.624287,100.25,39.200001,28.58,43.98,25.15,12.37,47,33.360001,78.889999,54.200001,44.84
11/12/2007,33.380001,7.87,6.35,314.854858,21.589464,24.780001,48.240002,39.955791,21.965714,101.449997,38.650002,29.110001,43.98,25.370001,11.95,46.709999,30.030001,77,53.77,46.169998
11/13/2007,34.459999,8,6.32,329.041656,22.479565,26.1,49.869999,40.68396,24.280001,105.269997,39.849998,30.139999,46.27,26.139999,12.4,48.919998,32.68,79.860001,55.860001,47.290001
11/14/2007,33.93,7.98,6.15,319.641907,22.284286,25.07,48.669998,40.627949,23.73,103.440002,39.34,29.709999,45.73,25.85,12.28,48.650002,32.169998,78.510002,55.610001,46.889999
11/15/2007,33.759998,7.78,6.07,313.649353,22.207085,25.42,48.669998,40.179844,23.471428,103.599998,39.369999,29.299999,44.080002,25.530001,12.7,48.380001,31.74,77.849998,53.27,45.73
11/16/2007,34.09,7.7,6.11,315.631927,23.04723,26.82,47.880001,40.786652,23.77,104.790001,39.549999,29.940001,44.369999,25.51,12.64,48.23,32.450001,78.599998,52.900002,46.790001
11/19/2007,33.959999,7.34,5.95,311.75647,22.452316,26.76,47.110001,40.189178,23.421429,102.220001,37.75,29.43,42.82,25.17,12.07,47.32,30.26,79.18,51.130001,46.240002
11/20/2007,34.580002,7.24,5.9,323.059082,22.506811,26.719999,45.09,40.29187,24.121429,103.419998,38.029999,29.040001,42.77,25.52,11.28,48.139999,30.030001,80.389999,50.43,45.900002
11/21/2007,34.23,6.95,5.78,329.026733,22.198002,25.709999,46.450001,39.162277,24.065714,102.220001,37.450001,28.25,42.139999,24.629999,10.83,47.330002,29.709999,79.760002,48.509998,44.560001
11/23/2007,34.110001,7.19,5.87,337.086517,22.3297,26.129999,46.529999,39.806427,24.505714,104.050003,37.630001,28.690001,43.150002,25.07,10.78,49.080002,30.219999,81.43,49.889999,45.41
11/26/2007,32.970001,7.03,5.75,331.7565,21.871027,25.219999,46.450001,38.490124,24.648571,101.970001,36.349998,27.5,41.880001,24.370001,10.27,50.009998,29.52,81.300003,47.950001,43.869999
11/27/2007,33.060001,7.07,5.8,335.527374,22.1208,25.59,46.48,38.704842,24.972857,103.830002,36.73,27.49,42.939999,25.110001,10.15,53.310001,30.790001,85.589996,49.799999,45.169998
11/28/2007,33.700001,7.36,6,344.837463,23.038147,26.200001,48.02,39.591709,25.745714,107.370003,37.5,28.049999,44.849998,26.190001,10.35,55,32.849998,90.300003,53.5,47.580002
11/29/2007,33.59,7.29,5.79,347.198608,23.18347,26.629999,47.009998,39.657059,26.327143,107.5,38.029999,28.15,44.630001,26.34,10.14,54.209999,33.119999,89.150002,52.34,47.32
11/30/2007,33.599998,7.51,5.83,345.206085,23.233423,26.809999,48.02,40.338547,26.031429,105.18,38.209999,28.02,46.130001,26.08,9.76,53.970001,31.540001,90.559998,52.720001,47.959999
12/3/2007,32.919998,7.25,5.84,339.492493,22.906448,26.610001,46.869999,40.226521,25.551428,105.830002,38.279999,27.57,45.470001,26.25,9.66,53.709999,32,90.910004,52.279999,47.869999
12/4/2007,32.77,6.97,5.73,340.802582,23.029064,26.42,47.18,40.889339,25.687143,106.629997,37.860001,26.959999,44.709999,26.309999,9.25,52.98,31.969999,94.410004,50.009998,47.860001
12/5/2007,34.150002,6.98,5.83,347.950806,23.460491,25.98,48.049999,41.561493,26.5,108.160004,38.419998,27.48,45.23,27.219999,8.91,53.639999,33.630001,93.190002,50.110001,48.25
12/6/2007,34.549999,7.06,6,356.294525,23.710264,25.959999,49.049999,41.46814,27.135714,109.699997,38.82,27.790001,45.959999,27.98,9.07,54.77,34.310001,94.209999,51.580002,49.509998
12/7/2007,34.529999,7.06,5.93,356.10025,23.542234,25.629999,48.990002,42.289661,27.757143,108.860001,38.470001,27.450001,45.369999,27.73,9.05,53.23,33.880001,94.309998,51.689999,48.959999
12/10/2007,34.759998,7.14,6.14,357.868622,23.601271,25.200001,48.369999,42.336338,27.744286,109.389999,37.900002,27.66,46.639999,27.780001,9.18,54.689999,34.25,93.019997,54.369999,49.700001
12/11/2007,34.099998,6.97,5.82,348.294495,23.060854,24.469999,46.110001,41.514816,26.934286,106.989998,39.459999,28.02,44.650002,26.93,9.07,54.59,34.290001,90.75,49.950001,47.540001
12/12/2007,34.470001,7.06,5.87,348.369232,23.401453,24.540001,45.720001,41.953583,27.265715,108.470001,41.709999,28.799999,43.43,27.280001,8.97,55.950001,35.470001,91.279999,50.369999,48.509998
12/13/2007,35.220001,6.99,5.8,345.729126,23.782925,24.379999,45.68,42.028267,27.404285,108.18,41.799999,29.059999,43.049999,27.16,8.84,56.259998,34.5,92.400002,50.200001,48.790001
12/14/2007,35.310001,6.89,5.76,343.691772,23.678474,24.059999,44.959999,41.421463,27.198572,105.769997,41.139999,28.65,42.16,26.290001,8.43,54.52,35.07,89.080002,50.299999,48.110001
12/17/2007,34.389999,6.8,5.52,333.365479,23.128973,23.040001,45.619999,40.235859,26.342857,104.529999,40.5,27.950001,41.700001,25.719999,7.95,53.790001,33.279999,85.089996,49.529999,47.27
12/18/2007,34.740002,6.81,5.74,335.417786,23.169846,23.02,46.150002,40.898674,26.139999,106.309998,40.599998,28.15,41.5,25.91,7.68,54.439999,34.130001,86.889999,48.07,48.130001
12/19/2007,34.790001,6.76,5.71,337.420258,23.228884,23.309999,46.299999,40.74931,26.16,107.139999,39.939999,28.190001,41.59,26.190001,7.98,54.209999,34.450001,89.379997,50.080002,48.66
12/20/2007,35.52,6.79,5.86,343.557251,23.233423,23.639999,46.43,40.908012,26.744286,108.839996,40.259998,28.280001,41.41,26.41,7.97,53.799999,35.169998,90.580002,51.369999,48.91
12/21/2007,36.060001,6.79,6.11,347.044189,23.628519,24.01,47.34,41.374783,27.701429,111.050003,41.48,28.6,41.919998,26.959999,7.79,54.540001,35.16,91.260002,54.369999,49.18
12/24/2007,36.580002,6.75,6.26,349.056641,23.760218,24.049999,47.27,41.813553,28.4,111.650002,41.5,28.719999,42.279999,27.309999,7.77,54.639999,35.779999,91.010002,54.970001,49.82
12/26/2007,36.610001,6.89,6.3,354.092773,23.964577,23.959999,47.990002,42.102951,28.421429,111.559998,42.299999,28.379999,42.299999,27.450001,7.77,55.950001,36.259998,92.849998,55,49.73
12/27/2007,35.970001,6.84,6.02,349.061646,23.437784,23.709999,47.18,41.430798,28.367144,109.599998,42.02,27.790001,41.459999,26.83,7.53,54.75,35.139999,94.25,53.32,48.599998
12/28/2007,36.119999,6.7,6,349.953278,23.324251,23.450001,47.150002,41.65485,28.547142,110.089996,42.439999,27.559999,41.099998,26.76,7.32,54.299999,34.790001,94.449997,53.220001,48.5
12/31/2007,35.599998,6.73,5.99,344.448914,22.924614,23.26,46.709999,40.786652,28.297142,108.099998,41.560001,27.07,41.259998,26.66,7.5,54.299999,34.02,92.639999,53.110001,48.759998
1/2/2008,35.220001,6.6,5.81,341.315674,22.547684,23.719999,45.610001,40.338547,27.834286,104.690002,41,26.540001,40.560001,25.35,7.14,54.110001,33.009998,96.25,50.950001,47.130001
1/3/2008,35.369999,6.45,5.69,341.385406,22.547684,23.84,45.150002,40.525257,27.847143,104.900002,41.389999,26.75,40.299999,24.67,6.77,54.349998,32.75,95.209999,50.939999,49.169998
1/4/2008,34.380001,6.13,5.58,327.273285,21.285194,23.16,42.380001,39.769085,25.721428,101.129997,40.889999,26.120001,39.849998,22.67,6.25,52.419998,30,88.790001,49.299999,48.150002
1/7/2008,34.610001,6.16,5.59,323.412781,20.594913,23.18,41.23,40.469242,25.377142,100.050003,41.43,26.129999,39.900002,22.879999,6.08,54.099998,26.9,88.82,48.310001,48.810001
1/8/2008,33.450001,6.1,5.33,314.660583,19.613987,22.610001,40.200001,39.199619,24.464285,97.589996,39.16,25.43,38.41,22.26,6,54.16,27.469999,87.879997,46.400002,47
1/9/2008,34.439999,6.07,5.12,325.380402,20.181654,22.559999,41.150002,39.647724,25.628571,98.309998,39,26.24,38.740002,22.75,5.53,57.189999,28.889999,85.220001,47.73,47.790001
1/10/2008,34.330002,6.25,5.31,322.157471,20.590372,24.09,41.610001,40.562599,25.431429,99.919998,39.400002,26.24,39.299999,22.540001,5.96,56.43,28.290001,84.260002,48.41,47.529999
1/11/2008,33.91,6.06,5.24,317.933319,20.435966,23.360001,39.84,39.675728,24.67,97.669998,38.200001,25.870001,38.5,21.99,6.25,55.299999,27.049999,81.080002,48.389999,46.5
1/14/2008,34.389999,6.18,5.49,325.68924,20.949137,23.700001,40.490002,40.133167,25.540001,102.93,38.509998,26.290001,39.220001,23.08,6.41,55.75,28.85,82.870003,48.900002,47.130001
1/15/2008,34,5.97,5.35,317.63443,20.458673,22.91,38.720001,39.367661,24.148571,101.830002,37.630001,25.85,37.880001,22.690001,6.12,53.779999,26.73,80.239998,47.130001,45
1/16/2008,33.23,5.86,5.44,306.824951,20.13624,21.950001,39.630001,39.50769,22.805714,101.629997,37.869999,25.15,38.689999,19.879999,6.57,52.549999,23.709999,80.349998,47.389999,45.09
1/17/2008,33.110001,5.76,5.38,299.273254,19.527702,21.219999,36.950001,38.191391,22.984285,101.099998,37.299999,24.33,36.91,19.33,6.34,51.119999,23.299999,80.120003,45.25,44.77
1/18/2008,33.009998,5.92,5.31,299.004272,19.868301,20.780001,37,36.492336,23.051428,103.400002,36.110001,24.299999,35.970001,19,7.07,51.439999,24.84,79.760002,45.110001,43.75
1/22/2008,31.959999,5.93,5.64,291.083954,19.400545,19.860001,36.849998,35.316067,22.234285,101.220001,35.959999,23.48,37.389999,18.610001,6.83,50.060001,23.6,78.480003,48.529999,45.049999
